Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,807000,811069.9977,816600.0032,828610.0113,849479.9894,875579.9879,892349.9822,917560.0169,956139.9927,942640.0024,945980.0057,985429.9913,1031909.987,1072749.997,1115909.987,1142860.015,1143609.999,1207469.999,1266980.02,1250180.005,1306100.011,1308610.027,1318919.992,1342549.967,1370949.982,1369670.005,1385480.007,1401180.02,1407690.028,1427180.001
Afghanistan,11970,12199.99981,11420.00008,11500,11539.99996,11970.00027,13000,13970.00027,14789.99996,15670.00008,13890.00034,12250,14890.00034,15529.99973,15310.00042,16229.99954,16739.99977,17139.99939,20540.00092,22629.99916,27120.00084,29409.99985,28799.99924,27020.00046,26760.00023,27090.00015,26889.99939,26530.00069,27690.00053,28639.99939
Africa Western and Central,398320,434809.9994,456619.9949,457090.0028,513829.9932,523890.0052,551809.9885,552220.0063,549469.9957,545489.9974,569409.9903,572110.0108,561879.9947,594750.0043,600379.9961,623369.9982,617159.9986,610349.996,623910.0059,614409.9992,657490.0039,678150.0059,691350.018,718839.999,738380.0041,748349.9951,781940.016,790770.0081,812779.999,833840.0007
Angola,43150,43580.00183,44290.00092,47270.00046,50159.99985,53319.99969,54669.99817,55459.99908,59689.99863,58639.99939,57639.99939,57750,60209.99908,65720.00122,67430.00031,66959.99908,65860.00061,70199.99695,72680.00031,73800.00305,77730.00336,79150.00153,77400.00153,81089.99634,82389.99939,87360.00061,85910.00366,81010.00214,75239.99786,79680.00031
Albania,11100,8760.000229,6750,6719.99979,7539.999962,7369.999886,7090.000153,6349.999905,6599.999905,7820.000172,8140.000343,8109.999657,8750,9090.000153,9159.999847,8949.999809,8850.000381,8859.999657,8600.000381,8640.000343,8899.999619,9329.999924,8880.000114,8930.000305,9359.999657,9220.000267,9090.000153,9659.999847,9449.999809,9010.000229
Andorra,430,430.0000072,430.0000072,439.9999976,439.9999976,460.0000083,490.0000095,509.9999905,540.0000215,569.9999928,589.9999738,589.9999738,600.0000238,610.0000143,639.9999857,660.0000262,639.9999857,639.9999857,639.9999857,620.0000048,629.9999952,600.0000238,600.0000238,589.9999738,569.9999928,579.9999833,589.9999738,589.9999738,620.0000048,629.9999952
Arab World,1115020,1103970.001,1174959.997,1257590.001,1326619.976,1368390.003,1414430.003,1481210.014,1516109.98,1542410.021,1611569.998,1654740.022,1690330,1739150.004,1821170.007,1921029.997,1999759.982,2062060.012,2186110.038,2228829.993,2337490.006,2363640.002,2537139.985,2562239.989,2620259.976,2685770.037,2744510.004,2796759.972,2804929.981,2881820.04
United Arab Emirates,73250,81069.99969,79190.00244,83620.00275,92199.99695,97339.99634,101709.9991,104949.9969,106989.9979,108830.0018,109019.9966,123080.0018,125400.0015,133419.9982,141210.0067,150100.0061,157119.9951,168250,194020.0043,194380.0049,201889.9994,207490.0055,219589.9963,230889.9994,231800.0031,245220.0012,252919.9982,248690.0024,229380.0049,243550.0031
Argentina,247300,251720.0012,256239.9902,256820.0073,260200.0122,262790.0085,271989.9902,276769.989,282380.0049,288709.9915,290820.0073,284140.0146,280480.011,302570.0073,318700.0122,322739.9902,337250,349820.0073,354269.989,333820.0073,339609.9854,350250,355299.9878,364480.011,363149.9939,370000,373329.9866,377209.9915,375100.0061,369049.9878
